,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
100,dummy_baseline,levy,100.0,6.97,6.92,7.0
121,dummy_baseline,levy,121.0,6.97,6.94,7.0
144,dummy_baseline,levy,144.0,7.0,7.0,7.0
169,dummy_baseline,levy,169.0,7.0,7.0,7.0
196,dummy_baseline,levy,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,levy,4.0,3.15,2.82,3.50025
9,pfn_cocabo_51,levy,9.0,2.59,2.27,2.91
16,pfn_cocabo_51,levy,16.0,2.38,2.1,2.66
25,pfn_cocabo_51,levy,25.0,2.26,1.99975,2.53
36,pfn_cocabo_51,levy,36.0,2.25,1.98,2.53
49,pfn_cocabo_51,levy,49.0,2.54,2.27,2.8002499999999997
64,pfn_cocabo_51,levy,64.0,2.52,2.28,2.76
81,pfn_cocabo_51,levy,81.0,2.69,2.43,2.93
100,pfn_cocabo_51,levy,100.0,2.84,2.6,3.10025
121,pfn_cocabo_51,levy,121.0,3.1,2.87,3.33
